6	2	2	-6	17	-4
6	5	6	-12	-14	-18
3	10	4	9	2	11
3	5	5	15	16	-16
5	6	2	-5	15	18
7	6	9	-4	17	-14
5	5	3	16	-11	-1
9	0	9	9	-4	-19
0	9	3	-5	10	8
6	0	8	14	18	1
4	9	8	16	5	16
1	0	5	-15	-20	6
7	9	9	-15	13	-3
6	9	1	17	3	15
6	4	7	13	-6	12
8	6	1	11	-5	7
5	0	1	-13	-20	11
9	4	4	14	-10	10
4	8	5	-16	11	19
1	1	5	-2	5	10
6	3	3	12	-2	-5
4	2	5	6	-19	-13
7	10	7	18	12	-9
1	9	9	17	9	11
7	1	8	14	-4	7
8	10	1	17	-9	12
8	4	7	2	10	-1
8	7	8	17	7	-19
9	6	5	-17	8	9
3	6	4	-20	-1	-10
10	5	5	18	-1	-9
1	4	4	18	12	3
5	1	0	19	-10	11
5	9	1	-13	13	-17
2	10	6	7	-8	6
1	7	3	5	-6	10
10	2	9	-3	-7	2
10	7	5	3	9	-5
4	3	2	-20	-19	13
3	2	1	17	-6	-3
0	8	1	-1	-15	5
3	3	2	17	-17	0
3	9	4	2	8	-12
8	5	8	-14	17	4
0	3	7	9	1	-4
7	3	4	-10	-3	10
6	1	2	-16	-5	11
4	1	0	11	12	-16
9	2	3	-20	8	5
10	0	7	6	4	-3
