3.344872329993682669e+00	2.114272896852035899e+00	3.682288914539110003e+00
1.787169023519036504e+00	3.720558458321440831e+00	1.136525882918885166e+01
1.645479933451244436e+00	3.702310583937984401e+00	1.673691680334582088e+01
3.005233333258003459e+00	6.646841988558924719e+00	6.321727140327068284e+00
1.795126878596927877e+00	1.083154902649302365e+01	9.170965574750747251e+00
4.471197634437223734e+00	8.673858808515690910e+00	1.697907947306008225e+01
2.641153424957254803e+00	1.686330655136789503e+01	1.304460892126715787e+00
1.605796011809765167e+00	1.504860120737098406e+01	8.795432572531744597e+00
3.627492508675782990e+00	1.581769187848061087e+01	1.294634367606228764e+01
1.027102156974707370e+01	4.177787928768272430e+00	3.468982938617903411e+00
1.099783856805325755e+01	1.129491955537521353e+00	1.031419616821018259e+01
1.045093731463575182e+01	4.606061735604042084e+00	1.498044045868642726e+01
9.140914522368401407e+00	7.274580825889330526e+00	4.819655686358131241e+00
9.758984528427399496e+00	9.771980249956085274e+00	9.715123296684186727e+00
1.423268529971614704e+01	1.284816793898937881e+01	1.757543386514666750e+01
1.388407126728093566e+01	1.658792546045417993e+01	3.897206157683455352e+00
6.513721180015465073e+00	1.700498221033047841e+01	1.095513377859638915e+01
1.065535136276949402e+01	8.886289847688538801e-01	1.674987068784311717e+01
1.393771639495760084e+01	1.876904938179749127e+00	5.343160757824786167e+00
1.530975596712411679e+01	4.737585843652546203e+00	9.516759974546820544e+00
1.676704360217249601e+01	3.328753660691941008e+00	1.670482073893994368e+01
1.815571376694186512e+01	1.072951738983146441e+01	3.719866692669704378e+00
1.789813926238837283e+01	1.154678145818011359e+01	9.232881247325730456e+00
1.921658455248261532e+01	8.042250150084418792e+00	1.504744373406297164e+01
1.437306441748008545e+01	1.722331988408946302e+01	4.601876914480063085e+00
1.741891375854806867e+01	1.790711050009520022e+01	1.284679493390839333e+01
1.740168431699925122e+01	1.703204490622897183e+01	1.340474152444469169e+01
