6	2	1	5
9	0	2	1
1	10	2	-5
10	1	-4	1
7	7	3	5
1	8	3	5
3	0	0	-4
9	10	2	-4
10	6	-5	4
3	10	-5	1
10	10	-4	-3
3	5	1	-5
3	3	-3	2
9	5	2	1
7	10	-5	0
2	7	-4	5
8	0	4	5
1	1	-4	0
10	8	-4	-2
9	7	0	0
6	5	-3	-2
2	10	5	-5
7	6	3	-4
7	0	3	-2
6	3	2	-4
1	5	-2	-4
9	2	-4	-1
8	4	-3	3
8	7	4	5
2	9	-1	-5
9	3	5	1
2	2	-4	-4
1	3	-3	-3
9	1	-3	3
4	10	-1	5
3	8	3	3
1	2	3	0
0	0	-4	1
8	2	-4	-5
6	0	-1	4
7	2	3	-1
0	10	2	-4
9	9	3	0
5	3	-1	1
0	1	0	5
1	9	5	0
8	3	5	0
10	0	0	-3
4	7	1	0
5	0	2	4
1	4	2	-2
2	1	3	1
2	3	4	-1
9	4	-2	4
9	6	1	-4
3	9	4	-4
5	7	4	-5
7	4	-2	-1
0	4	5	3
6	9	4	0
